brand,address,city,state,zip,sales,lat,lon
nekter,1131 S Plaza Way,Flagstaff,AZ,86001,"$1,439,367.79",35.1898146,-111.6633011
nekter,27511 San Bernardino Ave Ste 220,Redlands,CA,92374,"$1,435,256.27",34.0753874,-117.2052181
nekter,2730 W Dove Valley Rd Ste 110,Phoenix,AZ,85085,"$1,415,787.22",33.7843141,-112.1182982
nekter,10798 Foothill Blvd,Rancho Cucamonga,CA,91730,"$1,257,150.32",34.1068928,-117.5690818
nekter,1040 Fowler Ave,Bozeman,MT,59718,"$1,201,160.63",45.6689689,-111.0823031
nekter,324 Southdale Ctr,Edina,MN,55435,"$1,194,160.63",44.880298,-93.3240084
nekter,5225 Canyon Crest Dr Ste 7B,Riverside,CA,92507,"$1,186,095.85",33.9556844,-117.3303264
nekter,24870 N Lake Pleasant Pkwy Ste C-104,Peoria,AZ,85383,"$1,140,515.39",33.7096021,-112.272944
nekter,116 E University Dr,Tempe,AZ,85281,"$1,121,251.53",33.4221833,-111.9368907
nekter,3454 Arlington Ave,Riverside,CA,92506,"$1,107,558.20",33.946071,-117.3869939
nekter,113 Los Altos Pkwy Ste 101,Sparks,NV,89436,"$1,063,842.89",39.582563,-119.7409526
nekter,12648 Limonite Ave,Eastvale,CA,92880,"$1,061,126.50",33.9740725,-117.5596417
nekter,44360 W Edison Rd Ste 140,Maricopa,AZ,85138,"$1,051,300.73",33.0657042,-112.0454316
nekter,2937 El Camino Real # B,Tustin,CA,92782,"$1,038,625.11",33.7246679,-117.7932462
nekter,100 E Camelback Rd Ste 196,Phoenix,AZ,85012,"$1,023,812.47",33.5097277,-112.0721045
nekter,19763 W Rinaldi St,Los Angeles,CA,91326,"$985,777.33",34.2751411,-118.5644552
nekter,1410 E Roseville Pkwy Ste 110,Roseville,CA,95661,"$950,397.89",38.7613178,-121.2500657
nekter,32371 Golden Lantern,Laguna Niguel,CA,92677,"$948,799.61",33.492467,-117.6976518
nekter,3260 S College Ave Ste 130,Fort Collins,CO,80525,"$942,346.97",40.5428526,-105.0765007
nekter,133 S Las Posas Rd,San Marcos,CA,92078,"$902,944.22",33.1420656,-117.1910843
nekter,305 SE Chkalov Dr,Vancouver,WA,98683,"$894,476.83",45.6197404,-122.5544601
nekter,1709 N Dysart Rd,Avondale,AZ,85392,"$893,960.12",33.4665577,-112.3399665
nekter,3900 Bel Aire Plz,Napa,CA,94558,"$891,437.02",38.323836,-122.307568
nekter,24371 Magic Mountain Pkwy,Valencia,CA,91355,"$889,578.57",34.4196053,-118.5608644
nekter,7710 NE 5th Ave Ste 118,Vancouver,WA,98665,"$888,675.54",45.678234,-122.6674744
nekter,22361 Antonio Pkwy Ste E120,Rancho Santa Margarita,CA,92688,"$884,205.98",33.6381563,-117.5905798
nekter,7450 Elk Grove Blvd Ste 120,Elk Grove,CA,95757,"$877,885.80",38.4070927,-121.4170286
nekter,23612 Rockfield Blvd Ste B,Lake Forest,CA,92630,"$864,440.80",33.6302134,-117.7183716
nekter,2500 E Orchard Rd,Greenwood Village,CO,80121,"$862,550.84",39.6094785,-104.9582794
nekter,5800 Nave Dr,Novato,CA,94949,"$852,971.03",38.0635948,-122.5333084
nekter,7601 N MacArthur Blvd,Irving,TX,95063,"$849,308.80",32.9098892,-96.9594781
nekter,2045 E Camelback Rd,Phoenix,AZ,85016,"$846,337.65",33.5081909,-112.0371251
nekter,5866 S Wadsworth Blvd,Littleton,CO,80123,"$846,062.90",39.6101686,-105.090294
nekter,5694 Mission Center Rd Ste 604,San Diego,CA,92108,"$827,240.58",32.7761701,-117.1549696
nekter,2004 Ximeno Ave,Long Beach,CA,90815,"$826,549.34",33.7919484,-118.1385319
nekter,15855 Soquel Canyon Pkwy,Chino Hills,CA,91709,"$816,281.48",33.9639176,-117.6920665
nekter,17923 MacArthur Blvd,Irvine,CA,92614,"$803,493.94",33.686995,-117.8558
nekter,27726 Santa Margarita Pkwy,Mission Viejo,CA,92691,"$789,365.02",33.6518458,-117.647139
nekter,25672 Crown Valley Pkwy,Ladera Ranch,CA,92694,"$781,995.13",33.5651639,-117.6316105
nekter,127 N El Camino Real,Encinitas,CA,92024,"$766,682.86",33.048154,-117.2575534
nekter,25426 Crenshaw Blvd,Torrance,CA,90505,"$764,510.11",33.7921701,-118.3322116
nekter,1085 W Queen Creek Rd Ste 8,Chandler,AZ,85248,"$742,922.77",33.2610857,-111.8603286
nekter,1508 S Riverside Ave Ste 105,Rialto,CA,92376,"$726,858.37",34.0738995,-117.3709442
nekter,3959 Portola Pkwy,Irvine,CA,92602,"$724,308.17",33.7334262,-117.7596569
nekter,5355 E Carefree Hwy,Cave Creek,AZ,85331,"$720,969.31",33.7981845,-111.9660358
nekter,26731 Aliso Creek Rd,Aliso Viejo,CA,92656,"$720,056.59",33.5751783,-117.7264123
nekter,2832 N Power Rd,Mesa,AZ,85215,"$716,948.86",33.4671636,-111.684521
