brand,address,city,state,zip,sales,lat,lon
eggslut,317 S Broadway Stall D-1,Los Angeles,CA,90013,--,34.0508,-118.2491
eggslut,1611 Pacific Ave,Los Angeles,CA,90291,--,33.9875,-118.4716
eggslut,8500 Beverly Blvd Unit 101,Los Angeles,CA,90048,--,34.075,-118.3771
eggslut,329 Marietta St NW,Atlanta,GA,30313,--,33.7621,-84.3957
eggslut,3700 Flamingo Road,Las Vegas,NV,89103,--,36.1175,-115.1881
eggslut,3708 Las Vegas Blvd,South Las Vegas,NV,89109,--,36.1097,-115.174
eggslut,4237 N Mississippi Ave,Portland,OR,97217,--,45.5539,-122.6756
eggslut,1531 Melrose Ave,Seattle,WA,98122,--,47.6146,-122.3278
eggslut,841 Southcenter Mall,Tukwila,WA,98188,--,47.4594,-122.2591
Mimosa House,2760 Sutterville Rd,Sacramento,CA,95820,--,38.5398,-121.4827
Mimosa House,5641 J St,Sacramento,CA,95819,--,38.567,-121.4398
Mimosa House,3155 Zinfandel Dr,Rancho Cordova,CA,95670,--,38.583,-121.2721
Mimosa House,2023 Vine St,El Dorado Hills,CA,95762,--,38.6534,-121.0701
Mimosa House,761 Pleasant Grove Blvd,Roseville,CA,95678,--,38.7898,-121.2794
Mimosa House,2180 Golden Centre Lane,Gold River,CA,95670,--,38.6231,-121.2659
Mimosa House,25075 Blue Ravine Rd,Folsom,CA,95630,--,38.6558,-121.1219
Mimosa House,1002 Riley St,Folsom,CA,95630,--,38.6738,-121.161
Mimosa House,6861 Douglas Blvd,Granite Bay,CA,95746,--,38.7495,-121.1852
Egghead,2475 San Ramon Valley Blvd Unit 6,San Ramon,CA,94583,--,37.7656,-121.9682
Egghead,3957 Rivermark Plaza,Santa Clara,CA,95054,--,37.3941,-121.9472
Egghead,519 W Capitol Expy,San Jose,CA,95136,--,37.2798,-121.8617
Egghead,80 S 1st St,San Jose,CA,95113,--,37.3353,-121.8893
Egghead,6201 Santa Teresa Blvd,San Jose,CA,95123,--,37.2343,-121.7891
Hatched,855 El Camino Real #161,Palo Alto,CA,94301,--,37.4363,-122.1558
Hatched,155 E Maude Ave,Sunnyvale,CA,94085,--,37.382,-122.0298
Egg Tuck,9530 Reseda Blvd,Northridge,CA,91324,--,34.2435,-118.5361
Egg Tuck,521 N Hollywood Way Ste D,Burbank,CA,91505,--,34.1598,-118.3435
Egg Tuck,7131 W Sunset Blvd Unit B,Los Angeles,CA,90046,--,34.098,-118.3456
