brand,address,city,state,zip,sales,lat,lon
Salt & Straw,3150 E Ray Rd,Gilbert,AZ,85296,--,33.3221801,-111.723664
Salt & Straw,690 S Novus Place 175,Tempe,AZ,85281,--,33.4242139,-111.9276367
Salt & Straw,100 E Camelback Rd Suite 104,Phoenix,AZ,85012,--,33.5106697,-112.0732345
Salt & Straw,6000 Bollinger Canyon Rd,San Ramon,CA,94583,--,37.7633237,-121.9594759
Salt & Straw,1309 Burlingame Blvd,Burlingame,CA,94010,--,37.5781663,-122.3472065
Salt & Straw,2201 Fillmore St,San Francisco,CA,94115,--,37.7899796,-122.4342051
Salt & Straw,1005 Galleria Blvd,Roseville,CA,95678,--,38.7675202,-121.2675054
Salt & Straw,586 Hayes St,San Francisco,CA,94102,--,37.776618,-122.4260455
Salt & Straw,1710 R Street,Sacramento,CA,95811,--,38.5685267,-121.4869899
Salt & Straw,50 University Ave,Los Gatos,CA,95030,--,37.2227,-121.9825016
Salt & Straw,250 University Ave,Palo Alto,CA,94301,--,37.4452775,-122.1618767
Salt & Straw,700 Village Ct,Santa Rosa,CA,95405,--,38.4442076,-122.6865205
Salt & Straw,2855 Stevens Creek Blvd,Santa Clara,CA,95050,--,37.3267237,-121.9433972
Salt & Straw,1357 Abbot Kinney Blvd,Los Angeles,CA,90021,--,33.9908646,-118.4660146
Salt & Straw,767 Americana Way,Glendale,CA,91210,--,34.1437355,-118.2560199
Salt & Straw,829 E 3rd St,Los Angeles,CA,90013,--,34.0460674,-118.2354717
Salt & Straw,11640 San Vicente Blvd,Los Angeles,CA,90049,--,34.0534593,-118.462863
Salt & Straw,9300 Culver Blvd,Culver City,CA,90232,--,34.02442873,-118.393618
Salt & Straw,240 N Larchmont Blvd,Los Angeles,CA,90004,--,34.0758198,-118.3234379
Salt & Straw,209 Manhattan Beach Blvd,Manhattan Beach,CA,90266,--,33.8850197,-118.4103989
Salt & Straw,39 W Colorado Blvd,Pasadena,CA,91105,--,34.1459815,-118.1514339
Salt & Straw,3823 Sunset Blvd,Los Angeles,CA,90026,--,34.0915086,-118.279155
Salt & Straw,12180 1/2 Ventura Blvd,Studio City,CA,91604,--,34.1430976,-118.3978559
Salt & Straw,8949 Santa Monica Blvd,West Hollywood,CA,90069,--,34.0841901,-118.3856133
Salt & Straw,1550 Disneyland Dr,Anaheim,CA,92802,--,33.8090367,-117.9224401
Salt & Straw,2001 Westcliff Drive,Newport Beach,CA,92660,--,33.6274541,-117.9080528
Salt & Straw,1670 India St,San Diego,CA,92101,--,32.7228262,-117.1684566
Salt & Straw,3705 Caminito Court,San Diego,CA,92130,--,32.9524883,-117.2349001
Salt & Straw,4575 La Jolla Village Dr,San Diego,CA,92122,--,32.8725356,-117.2093221
Salt & Straw,19505 Biscayne Blvd Suite 2155,Aventura,FL,33180,--,25.954833,-80.1428869
Salt & Straw,3015 Grand Ave,Miami,FL,33133,--,25.728972,-80.241977
Salt & Straw,749 Lincoln Rd,Miami,FL,33139,--,25.7908167,-80.1364276
Salt & Straw,1502 E Buena Vista Dr,Lake Buena Vista,FL,32830,--,28.3701229,-81.5207051
Salt & Straw,246 NW 25th St,Miami,FL,33127,--,25.8005386,-80.1999303
Salt & Straw,3555 S Las Vegas Blvd,Las Vegas,NV,89109,--,36.1166349,-115.1703887
