brand,address,city,state,zip,sales,lat,lon
Pokeworks,3719 Belt Line Rd,Addison,TX,75001,--,32.9616,-96.8488
Pokeworks,5001 S Cooper St Ste 107,Arlington,TX,76017,--,32.6659,-97.1517
Pokeworks,109 Bond Sq,Watertown,MA,02472,--,42.362,-71.1648
Pokeworks,31-16 30th Avenue,New York,NY,11102,--,40.7672,-73.9231
Pokeworks,950 West Peachtree St. NW Ste 250,Atlanta,GA,30309,--,33.7806,-84.3878
Pokeworks,1920 E Riverside Dr Ste 110,Austin,TX,78741,--,30.2423,-97.7289
Pokeworks,1041 W Bay Area Blvd,Webster,TX,77598,--,29.5401,-95.1388
Pokeworks,4447 Kingston Pike,Knoxville,TN,37919,--,35.9525,-83.9713
Pokeworks,222 Bellevue Way NE,Bellevue,WA,98004,--,47.6124,-122.2014
Pokeworks,101 W Imperial Hwy Ste C,Brea,CA,92821,--,33.9112,-117.9009
Pokeworks,17000F W Bluefield Rd,Brookfield,WI,53005,--,43.0378,-88.1246
Pokeworks,40 Church St,Burlington,VT,05401,--,44.4795,-73.2127
Pokeworks,70 Burlington Mall Rd,Burlington,MA,01803,--,42.4831,-71.2185
Pokeworks,60 First St,Cambridge,MA,02141,--,42.3672,-71.0772
Pokeworks,406 11th Ave N,Nashville,TN,37203,--,36.1601,-86.7925
Pokeworks,7169 O'Kelly Chapel Rd,Cary,NC,27519,--,35.8824,-78.8953
Pokeworks,1310 E Whitestone Blvd,Cedar Park,TX,78613,--,30.5235,-97.8105
Pokeworks,2007 W Tea Oline Lane North Bldg Ste 100,Coeur d'Alene,ID,83815,--,47.7126,-116.8159
Pokeworks,170 Century Square Dr Ste 11,College Station,TX,77840,--,30.6248,-96.3406
Pokeworks,1835 Newport Blvd Ste D160,Costa Mesa,CA,92627,--,33.6421,-117.9204
Pokeworks,3022 W Anderson Ln Unit B,Austin,TX,78757,--,30.3592,-97.7411
Pokeworks,2980 Cobb Parkway Ste 172,Atlanta,GA,30339,--,33.8781,-84.4782
Pokeworks,8041 Walnut Hill Ln #812,Dallas,TX,75231,--,32.8817,-96.7675
Pokeworks,2626 Howell St Ste 165,Dallas,TX,75204,--,32.7986,-96.8025
Pokeworks,8000 E Belleview Ave Ste D55,Greenwood Village,CO,80111,--,39.6251,-104.8943
Pokeworks,122 West Main St,Durham,NC,27701,--,35.9939,-78.9022
Pokeworks,1318 George Dieter Dr,El Paso,TX,79936,--,31.7241,-106.3022
Pokeworks,14011 Pebble Hills Blvd #111,El Paso,TX,79938,--,31.8058,-106.2681
Pokeworks,6951 N Mesa St,El Paso,TX,79912,--,31.8361,-106.5298
Pokeworks,4 S Market St,Boston,MA,02109,--,42.3601,-71.056
Pokeworks,61-24 190th Street,Fresh Meadows,NY,11365,--,40.7388,-73.7831
Pokeworks,3401 Preton Rd Ste 10,Frisco,TX,75034,--,33.1075,-96.8065
Pokeworks,2400 E Chapman Ave Ste B,Fullerton,CA,92831,--,33.8744,-117.8932
Pokeworks,1609 South Post Oak Lane,Houston,TX,77056,--,29.7497,-95.4616
Pokeworks,900 North Austin Ave Ste 408,Georgetown,TX,78626,--,30.6501,-97.6764
Pokeworks,117 E 41st St,New York,NY,10168,--,40.7513,-73.9774
Pokeworks,3651 Weslayan St #102,Houston,TX,77027,--,29.7344,-95.4419
Pokeworks,1775 Washington St Unit 610,Burlington,MA,02339,--,42.1436,-70.8431
Pokeworks,5960 W Sunset Blvd,Los Angeles,CA,90028,--,34.0981,-118.3197
Pokeworks,213 Heights Blvd,Houston,TX,77007,--,29.7656,-95.3975
Pokeworks,3201 N Shepherd Dr,Houston,TX,77018,--,29.8166,-95.4098
Pokeworks,919 Milam St Ste T1150,Houston,TX,77002,--,29.7587,-95.3674
Pokeworks,330 West 34th St,New York,NY,10001,--,40.7523,-73.9928
Pokeworks,15333 Culver Dr #410,Irvine,CA,92604,--,33.6874,-117.7816
Pokeworks,1400 E Expressway 83 Ste 130,McAllen,TX,78501,--,26.1866,-98.2251
Pokeworks,21788 Katy Fwy #700,Katy,TX,77449,--,29.7849,-95.7412
Pokeworks,5401 N 10th St Ste 126,McAllen,TX,78504,--,26.2517,-98.2285
Pokeworks,301 N Shary Rd Ste 270,Mission,TX,78572,--,26.2045,-98.2874
Pokeworks,211 Castro St,Mountain View,CA,94041,--,37.3934,-122.0792
Pokeworks,2014 Providence Parkway #102,Mt Juliet,TN,37122,--,36.1963,-86.5168
Pokeworks,32371 Golden Lantern Ste D,Laguna Niguel,CA,92677,--,33.4839,-117.7027
Pokeworks,10351 Pacific Street #18,Omaha,NE,68114,--,41.2481,-96.0747
Pokeworks,45 W Mitchell Hammock Rd #1371,Oviedo,FL,32765,--,28.6558,-81.2114
Pokeworks,550 Collection Blvd Space 190,Oxnard,CA,93036,--,34.2398,-119.1768
Pokeworks,1 Garden State Plaza Blvd FC-9,Paramus,NJ,07652,--,40.9169,-74.0759
Pokeworks,5160 Town Center Blvd #520,Peachtree Corners,GA,30092,--,33.9686,-84.2238
Pokeworks,212 Thayer St,Providence,RI,02906,--,41.8286,-71.4002
Pokeworks,2514 Rice Blvd,Houston,TX,77005,--,29.7175,-95.4168
Pokeworks,746 S Central Expy #110,Richardson,TX,75080,--,32.9398,-96.7516
Pokeworks,55 River Oaks Pl #30,San Jose,CA,95134,--,37.3999,-121.9254
Pokeworks,178 N Adams Rd,Rochester Hills,MI,48309,--,42.6841,-83.1928
Pokeworks,50 Fremont St #R2A,San Francisco,CA,94105,--,37.7909,-122.3976
Pokeworks,200 Springtown Way Ste 106,San Marcos,TX,78666,--,29.8924,-97.9156
Pokeworks,5975 Roswell Rd Ste 107A,Sandy Springs,GA,92627,--,33.9174,-84.3792
