name,address,city,state,zip,lat,lon
San Jose - Hostetter,1698 Hostetter Rd #H,San Jose,CA,95131,37.38698,-121.88366
Fremont - Warm Springs,46813 Warm Springs Blvd,Fremont,CA,94539,37.48896,-121.92933
San Jose - Winchester,1308 S. Winchester Blvd,San Jose,CA,95128,37.3011173,-121.9494219
San Jose - Almaden,5130 Cherry Ave # 50,San Jose,CA,95118,37.2598,-121.8876
Palo Alto,855 El Camino Real # 9,Palo Alto,CA,94301,37.4362,-122.1328
Santa Clara,3942 Rivermark Plaza,Santa Clara,CA,95054,37.3942,-121.9472
San Mateo,1030 Park Place,San Mateo,CA,94403,37.5375,-122.2988
Daly City,5G Serramonte Center,Daly City,CA,94015,37.6721,-122.4701
Mountain View,1040 Grant Rd,Mountain View,CA,94040,37.3795,-122.0756
Santa Rosa,1620 Mendocino Ave Suite B,Santa Rosa,CA,95401,38.4559,-122.7172
San Jose - Meridian,1087 Meridian Ave Suite 20,San Jose,CA,95125,37.3059,-121.9056
Santa Cruz,1543 Pacific Ave,Santa Cruz,CA,95060,36.9734,-122.0263
Monterey,515 Del Monte Center,Monterey,CA,93940,36.5898,-121.8967
Clovis,1961 N. Willow Ave Suite 107,Clovis,CA,93611,36.8535,-119.7423
Sacramento,8211 Bruceville Rd,Sacramento,CA,95823,38.4597,-121.4167
Walnut Creek,1522 Geary Rd,Walnut Creek,CA,94597,37.9171,-122.0635
Alameda,411 S Shore Center,Alameda,CA,94501,37.7583,-122.2536
Pleasanton,6770 Bernal Ave Ste 420,Pleasanton,CA,94566,37.6496,-121.8757
Brentwood,5941 Lone Tree Way Ste #400,Brentwood,CA,94513,37.9622,-121.7323
Santa Barbara,811 State St Ste D,Santa Barbara,CA,93101,34.4201,-119.7011
San Diego,9872 Hibert St Unit D-1,San Diego,CA,92131,32.9015,-117.1147
Los Angeles,2919 Los Feliz Blvd spc e 3,Los Angeles,CA,90039,34.1205,-118.2676
Palm Desert,44150 Town Center Way Suite B4,Palm Desert,CA,92260,33.7289,-116.3768
Atlanta,3280 Peachtree Rd,Atlanta,GA,30305,33.8441,-84.37096
Portland,9 Centerpointe Dr Ste A,Lake Oswego,OR,97035,45.42024,-122.73915
Las Vegas,7175 W Lake Mead Blvd Ste 168,Las Vegas,NV,89128,36.19525,-115.24818
