brand,address,city,state,zip,sales,lat,lon
HeyTea,1407 Broadway,New York,NY,10018,--,40.753246,-73.9878778
HeyTea,35 Main St,Flushing,NY,11354,--,40.7454457,-73.8256694
HeyTea,1293 Broadway,New York,NY,10001,--,40.7497992,-73.988341
HeyTea,42-20 27th St,Long Island City,NY,11101,--,40.7498988,-73.941037
HeyTea,2120 86th St,Brooklyn,NY,11214,--,40.6027914,-73.9956768
HeyTea,2125 Shattuck Ave,Berkeley,CA,94704,--,37.8709151,-122.2679513
HeyTea,500 Westlake Center,Daly City,CA,94015,--,37.6994208,-122.4826552
HeyTea,1628 Hostetter Rd,San Jose,CA,95131,--,37.387232,-121.885334
HeyTea,302 W El Camino Real,Sunnyvale,CA,94087,--,37.3682254,-122.0355835
HeyTea,5414 Walnut Ave,Irvine,CA,92604,--,33.689276,-117.7704477
HeyTea,500 N Atlantic Blvd,Monterey Park,CA,91754,--,34.0686929,-118.1336587
HeyTea,479 N Rodeo Dr,Beverly Hills,CA,90210,--,34.0705102,-118.4047162
HeyTea,223 Newbury St,Boston,MA,02116,--,42.3500725,-71.0816142
HeyTea,162 Harvard Ave,Boston,MA,02134,--,42.3515562,-71.131425
HeyTea,910 John St,Seattle,WA,98109,--,47.6199895,-122.339502
HeyTea,700 110th Ave NE,Bellevue,WA,98004,--,47.6164697,-122.1925263
HeyTea,12925 El Camino Real,San Diego,CA,92130,--,32.9516484,-117.2330717
HeyTea,1731 NJ-27,Edison,NJ,08817,--,40.5125542,-74.4079745
HeyTea,5015 Westheimer Rd,Houston,TX,77056,--,29.7394353,-95.4629964
HeyTea,1 American Dream Way,East Rutherford,NJ,07073,--,40.8086222,-74.0689331
HeyTea,372 Barber Ln,Milpitas,CA,95035,--,37.4224848,-121.9166693
HeyTea,3251 20th Ave,San Francisco,CA,94132,--,37.7277303,-122.4769749
HeyTea,302 W El Camino Real,Sunnyvale,CA,94087,--,37.3682254,-122.0355835
HeyTea,2855 Stevens Creek Blvd,Santa Clara,CA,95050,--,37.3267237,-121.9433972
HeyTea,165 4th St,San Francisco,CA,94103,--,37.7839649,-122.4031672
HeyTea,19469 Stevens Creek Blvd,Cupertino,CA,95014,--,37.3238225,-122.0105082
HeyTea,1065 Brea Mall,Brea,CA,92821,--,33.9153422,-117.8864509
HeyTea,5414 Walnut Ave Ste e,Irvine,CA,92604,--,33.6893266,-117.77029
