name,address,city,state,zip,lat,lon
01 El Dorado Hills,4390 Town Center Blvd #140,El Dorado Hills,CA,95762,38.6492671,-121.0658231
02 Auburn,2176 Grass Valley Hwy,Auburn,CA,95603,38.933284,-121.091467
03 Lincoln,73 Lincoln Blvd,Lincoln,CA,95648,38.879181,-121.294296
04 Foothills,5005 Foothills Blvd # 1A,Roseville,CA,95747,38.759747,-121.308283
05 Howe Ave.,1229 Howe Ave,Sacramento,CA,95825,38.5880759,-121.4184574
06 Sunrise,5437 Sunrise Blvd,Citrus Heights,CA,95610,38.6645895,-121.2751927
07 Grass Valley,121 Neal St,Grass Valley,CA,95945,39.2167995,-121.0653737
09 Rocklin,4875 Granite Dr,Rocklin,CA,95677,38.7888147,-121.2267146
12 Travis Blvd.,1320 Travis Blvd Ste. B,Fairfield,CA,94533,38.2597663,-122.0530361
13 North Texas,"3336 N Texas St, STE K",Fairfield,CA,94533,38.2897419,-122.0348105
14 Zinfandel,2823 Zinfandel Drive,Rancho Cordova,CA,95670,38.5956802,-121.2894662
15 Walnut Creek,2361 Oak Grove Rd Bldg. H,Walnut Creek,CA,94598,37.9277985,-122.0182099
16 Livermore,2150 Portola Ave Suite B,Livermore,CA,94551,37.6931856,-121.7763017
18 Brentwood,2375 Sand Creek Rd #106,Brentwood,CA,94513,37.9442386,-121.7419011
19 Commerce,190 Commerce Ave Suite 103,Manteca,CA,95336,37.7958311,-121.1961113
20 San Marcos,1620 San Elijo Rd Suite 105,San Marcos,CA,92078,33.0973365,-117.2026739
21 SIerra College,8690 Sierra College Blvd #150,Roseville,CA,95661,38.7405936,-121.2291433
22 Woodland,2051 Bronze Star Dr #200,Woodland,CA,95776,38.6706891,-121.7283995
23 Delta Shores,8166 Delta Shores Cir S #110,Sacramento,CA,95832,38.4632724,-121.4951871
24 Placerville,385 Main St,Placerville,CA,95667,38.7289161,-120.8039804
25 Monte Vista,1203 W Monte Vista Ave,Turlock,CA,95382,37.5221544,-120.8661092
26 Novato Nave,5800 Nave Dr,Novato,CA,94949,38.0635948,-122.5358833
27 Showers,"530 Showers Drive, STE 1",Mountain View,CA,94040,37.4020935,-122.1101178
28 Sunnyvale,304 W El Camino Real,Sunnyvale,CA,94087,37.3682053,-122.038197
29 McDowell,441 N McDowell Blvd,Petaluma,CA,94954,38.2542542,-122.6392029
30 Santa Rosa,2064 Santa Rosa Ave,Santa Rosa,CA,95404,38.4180676,-122.7146902
31 Telegraph,2509 Haste St,Berkeley,CA,94704,37.8662839,-122.2606857
32 Del Paso,2731 Del Paso Rd Ste. 100,Sacramento,CA,95835,38.6563875,-121.525217
33 Atwater,1809 Bellevue Rd,Atwater,CA,95301,37.3619389,-120.6156203
34 Bridge,1250 Bridge St. Suite 100.,Yuba City,CA,95991,39.1322344,-121.636599
35 Rohnert Park,6356 Commerce Blvd,Rohnert Park,CA,94928,38.3470378,-122.7109841
36 Coach,3317 Coach Ln. STE 100,Cameron Park,CA,95682,38.6583233,-120.9751943
37 March Lane,2829 W March Ln c4,Stockton,CA,95219,37.9847105,-121.3497987
38 Patterson,1015 Sperry Ave STE F,Patterson,CA,95363,37.4654686,-121.1438561
39 Mt. Diablo,1975 Mt. Diablo St,Concord,CA,94520,37.977201,-122.0372903
40 Green Valley,381 Green Valley Rd,El Dorado Hills,CA,95762,38.7034906,-121.1060757
41 Tracy Blvd,959 S Tracy Blvd,Tracy,CA,95376,37.7235128,-121.4383058
