brand,address,city,state,zip,sales,lat,lon
Tipsy Scoop,119 S 18th St,Philadelphia,PA,19103,--,39.9510497,-75.1703188
Tipsy Scoop,217 East 26th St,New York,NY,10010,--,40.7404873,-73.980822
Tipsy Scoop,270 Metropolitan Ave,Brooklyn,NY,11211,--,40.71455,-73.9585588
Tipsy Scoop,38-15 23rd Ave,Astoria,NY,11105,--,40.7713334,-73.9083532
Tipsy Scoop,675 I St NW,Washington,DC,20001,--,38.9010438,-77.0214362
Tipsy Scoop,194 N Palafox St,Pensacola,FL,32502,--,30.4153019,-87.2155372
Tipsy Scoop,3987 N Mississippi Ave,Portland,OR,97227,--,45.551959,-122.675844
Tipsy Scoop,512 Lea Ave,Nashville,TN,37203,--,36.1538346,-86.7753035
Tipsy Scoop,209 Key Highway,Baltimore,MD,21230,--,39.2804245,-76.6107251
Tipsy Scoop,355 N Central Ave,Phoenix,AZ,85004,--,33.4521583,-112.0734396
Tipsy Scoop,506 N Bishop Ave,Dallas,TX,75208,--,32.7492354,-96.8281199
Tipsy Scoop,59 Dartmouth St,Boston,MA,02116,--,42.3445825,-71.0744585
Aubi & Ramsa,172 NE 41st St #3516,Miami,FL,33137,--,25.8139264,-80.1919199
Aubi & Ramsa,36 Little W 12th St,New York,NY,10014,--,40.7399703,-74.0076004
Aubi & Ramsa,1165 Broadway,New York,NY,10001,--,40.7448515,-73.9887296
Aubi & Ramsa,5223 Orient Rd,Tampa,FL,33610,--,27.9930398,-82.3720483
Clementine's Creamery,1410 SE 8th St,Bentonville,AR,72712,--,36.3637011,-94.1945308
Clementine's Creamery,308 North Euclid Ave,St Louis,MO,63108,--,38.6449628,-90.2611777
Clementine's Creamery,730 De Mun,Clayton,MO,63105,--,38.637743,-90.3077867
Clementine's Creamery,914 E Broadway,Columbia,MO,65201,--,38.9513037,-92.3269567
Clementine's Creamery,6185 Bennett Dr Suite A,Edwardsville,IL,62025,--,38.7943493,-89.9767156
Clementine's Creamery,140 W Argonne Dr,Kirkwood,MO,63122,--,38.5810717,-90.4079781
Clementine's Creamery,1637 S 18th St,St Louis,MO,63104,--,38.6140023,-90.2120028
Clementine's Creamery,20 Meadows Circle Dr Suite 208,Lake St Louis,MO,63367,--,38.7811611,-90.7878597
Clementine's Creamery,6966 Mission Rd,Prairie Village,KS,66208,--,39.0020182,-94.6298823
Clementine's Creamery,4715 Macklind Ave,St Louis,MO,63109,--,38.5864274,-90.2845151
Clementine's Creamery,1500 S Main St,St Charles,MO,63303,--,38.7650163,-90.4918116
Clementine's Creamery,13426 Clayton Rd,Town and Country,MO,63131,--,38.6267574,-90.4812406
Salt & Straw,3150 E Ray Rd,Gilbert,AZ,85296,--,33.3221801,-111.723664
Salt & Straw,690 S Novus Place 175,Tempe,AZ,85281,--,33.4242139,-111.9276367
Salt & Straw,100 E Camelback Rd Suite 104,Phoenix,AZ,85012,--,33.5106697,-112.0732345
Salt & Straw,6000 Bollinger Canyon Rd,San Ramon,CA,94583,--,37.7633237,-121.9594759
Salt & Straw,1309 Burlingame Blvd,Burlingame,CA,94010,--,37.5781663,-122.3472065
Salt & Straw,2201 Fillmore St,San Francisco,CA,94115,--,37.7899796,-122.4342051
Salt & Straw,1005 Galleria Blvd,Roseville,CA,95678,--,38.7675202,-121.2675054
Salt & Straw,586 Hayes St,San Francisco,CA,94102,--,37.776618,-122.4260455
Salt & Straw,1710 R Street,Sacramento,CA,95811,--,38.5685267,-121.4869899
Salt & Straw,50 University Ave,Los Gatos,CA,95030,--,37.2227,-121.9825016
Salt & Straw,250 University Ave,Palo Alto,CA,94301,--,37.4452775,-122.1618767
Salt & Straw,700 Village Ct,Santa Rosa,CA,95405,--,38.4442076,-122.6865205
Salt & Straw,2855 Stevens Creek Blvd,Santa Clara,CA,95050,--,37.3267237,-121.9433972
Salt & Straw,1357 Abbot Kinney Blvd,Los Angeles,CA,90021,--,33.9908646,-118.4660146
Salt & Straw,767 Americana Way,Glendale,CA,91210,--,34.1437355,-118.2560199
Salt & Straw,829 E 3rd St,Los Angeles,CA,90013,--,34.0460674,-118.2354717
Salt & Straw,11640 San Vicente Blvd,Los Angeles,CA,90049,--,34.0534593,-118.462863
Salt & Straw,9300 Culver Blvd,Culver City,CA,90232,--,34.02442873,-118.393618
Salt & Straw,240 N Larchmont Blvd,Los Angeles,CA,90004,--,34.0758198,-118.3234379
Salt & Straw,209 Manhattan Beach Blvd,Manhattan Beach,CA,90266,--,33.8850197,-118.4103989
Salt & Straw,39 W Colorado Blvd,Pasadena,CA,91105,--,34.1459815,-118.1514339
Salt & Straw,3823 Sunset Blvd,Los Angeles,CA,90026,--,34.0915086,-118.279155
