Brand,Center,Address,City,State,Latitude,Longitude,Geocode_Status,Geocode_Notes
CAVA,Bergen Town Center,2701 Bergen Town Ctr,Paramus,NJ,40.9151925,-74.0597543,OK,
CAVA,--,3722 Paseo Pl Ste 1400,San Diego,CA,32.9512452,-117.2358792,OK,
CAVA,--,325 Park Ave S,New York,NY,40.7408852,-73.9855864,OK,
CAVA,Midtown East,1100 Mercantile Dr Ste 100,Raleigh,NC,35.82169560000001,-78.6224256,OK,
CAVA,Blakeney Town Center,9848 Rea Rd Ste G,Charlotte,NC,35.0346026,-80.8084291,OK,
CAVA,Union Station,50 Massachusetts Ave NE,Washington,DC,38.8979479,-77.0062458,OK,
CAVA,West Woods Shopping Center,3201 Bee Caves Rd Ste 100,Austin,TX,30.2730557,-97.7992288,OK,
CAVA,Brighten Park,2480 Briarcliff Rd NE Ste 48,Atlanta,GA,33.8273194,-84.3318027,OK,
CAVA,Vienna Crossing,418 Maple Ave E,Vienna,VA,38.9087305,-77.2568912,OK,
CAVA,--,7707 Bluebonnet Blvd Ste 120,Baton Rouge,LA,30.38021599999999,-91.0959012,OK,
CAVA,Mitchell Ranch Plaza,2910 Little Rd,Trinity,FL,28.2019169,-82.6663998,OK,
CAVA,Wesley Place,422 21st Ave S,Nashville,TN,36.1459161,-86.7993307,OK,
CAVA,--,350 E 17th St Ste 3,Costa Mesa,CA,33.6322858,-117.9136866,OK,
CAVA,--,3619 Forbes Ave,Pittsburgh,PA,40.4412007,-79.95798099999999,OK,
CAVA,--,2634 Medical Center Pkwy Ste A,Murfreesboro,TN,35.8616134,-86.44321699999999,OK,
CAVA,Burbank Empire Center,1787 N Victory Pl,Burbank,CA,34.1912135,-118.3293571,OK,
CAVA,--,572 Hank Aaron Dr SE Ste 4130,Atlanta,GA,33.7390668,-84.38720560000002,OK,
CAVA,--,701 S Capital of Texas Hwy Ste G750,West Lake Hills,TX,30.2916698,-97.82659729999999,OK,
CAVA,Melville Mall,880 Walt Whitman Rd Spc F876,Melville,NY,40.79944649999999,-73.4119578,OK,
