state,city,address,p1-1,p1-2,p1-3,p1-4,p2-1,p2-2,p2-3,p2-4,p3-1,p3-2,p3-3,p3-4,p3-5,p4-1,p4-2,p4-3,p4-4,p5-1,p5-2,p5-3,p5-4,p6-1,p6-2,p6-3,p6-4,p6-5,p7-1,p7-2,p7-3,p7-4,p8-1,p8-2,p8-3,h1 avg weekly,pop 1 mi,pop 3 mi,pop 5 mi,daytime pop 1 mi,daytime 3 mi,daytime 5 mi,median age 1 mi,med age 3 mi,med age 5 mi,white pop % 1 mi,white pop % 3 mi,white pop % 5 mi,black pop % 1 mi,black pop % 3 mi ,black pop % 5 mi,hispanic pop % 1 mi,hispanic pop % 3 mi,hispanic pop % 5 mi,asian pop % 1 mi,asian pop % 3 mi,asian pop % 5 mi,employee count 1 mi,emp count 3 mi,emp count 5 mi,blue collar % 1 mi,blue collar % 3 mi,blue collar % 5 mi,white collar % 1 mi,white collar % 3 mi,white collar % 5 mi,med hh income 1 mi,med hh income 3 mi,med hh income 5 mi,hh discretionary spend 1 mi,hh discretionary spend 3 mi,hh discretionary spend 5 mi,hh dining spend 1 mi,hh dining spend 3 mi,hh dining spend 5 mi,city renter %,city wfh %,plaza foot traffic,Latitude,Longitude,Geocode_Status,Geocode_Notes,format,visibility
NV,Las Vegas,801 S Main St,"$27,006.06","$38,880.87","$41,325.63","$33,395.57","$37,493.26","$36,877.62","$37,120.34","$34,826.69","$39,914.76","$38,944.98","$40,510.07","$38,185.70","$41,933.45","$34,442.90","$41,936.90","$35,293.94","$49,067.18","$43,509.45","$37,021.30","$41,621.97","$37,529.16","$32,955.05","$35,653.98","$29,049.50","$35,620.91","$38,287.77","$29,707.53","$31,526.29","$31,059.28","$32,256.55","$31,684.82","$33,412.11","$31,789.80",,12243,165452,522618,54775,145738,469624,42.1,38.1,35.8,38.10%,25.90%,27.10%,21.50%,16.40%,15.40%,29.00%,50.30%,53.40%,6.90%,6.30%,5.80%,62245,164282,441613,4.70%,5.30%,5.50%,95.30%,94.70%,94.50%,44150,46055,48643,6213,6406,6664,2654,2720,2807,42.20%,12.20%,7334514,36.1629294,-115.1508422,OK,,end cap,1
NV,Las Vegas,5020 Blue Diamond Rd,"$27,934.71","$29,696.87","$28,155.79","$29,704.77","$30,797.69","$30,897.22","$29,746.04","$30,655.13","$33,031.89","$36,288.55","$33,369.48","$32,160.78","$34,746.48","$32,104.86","$32,416.91","$32,148.27","$32,517.79","$31,344.10","$35,231.67","$34,726.83","$33,943.28","$28,518.89","$32,566.48","$31,902.46","$30,067.49","$35,710.58","$29,363.71","$31,352.82","$30,139.82","$28,997.97","$31,497.52","$32,093.84","$32,396.83",,3529,110573,324367,3390,106922,301070,33.8,38.3,38.4,24.50%,35.20%,41.10%,22.20%,12.50%,10.80%,20.90%,17.70%,20.50%,26.70%,26.90%,22.40%,1154,30420,194137,56.90%,15.70%,18.40%,43.10%,84.30%,81.60%,69448,87641,82871,8619,10197,9793,3446,3941,3816,42.20%,12.20%,12950158,36.0322166,-115.2102214,OK,,in line,1
NV,Las Vegas,7130 W Craig Rd,"$45,399.25","$51,868.09","$51,487.23","$50,254.88","$52,373.54","$52,644.10","$51,578.93","$54,729.81","$57,901.71","$59,890.68","$58,822.89","$53,122.87","$60,243.05","$55,696.00","$52,220.48","$53,351.39","$51,102.90","$52,574.12","$52,215.24","$59,190.23","$56,477.47","$45,633.40","$51,629.33","$48,735.74","$54,799.95","$53,479.43","$46,075.20","$52,263.03","$53,905.94","$52,092.83","$55,101.20","$51,184.39","$53,517.72",,15698,136469,418839,15299,131661,407892,43.3,42.2,40.1,56.20%,50.70%,47.30%,10.10%,12.10%,13.30%,26.80%,29.10%,30.80%,4.30%,5.90%,7.00%,3318,40066,91223,6.20%,5.60%,7.30%,93.80%,94.40%,92.70%,66425,76720,77785,8346,9262,9355,3359,3650,3679,42.20%,12.20%,8100528,36.2410308,-115.2497125,OK,,end cap,1
NV,Las Vegas,365 Hughes Center Drive,,,,,,,,,,,,,,,,,,,"$20,588.43","$20,445.93","$23,036.57","$21,915.34","$25,340.59","$27,384.13","$28,564.43","$23,291.99","$23,348.43","$27,038.33","$28,244.47","$23,427.02","$25,931.25","$27,063.89","$27,164.41",,18162,134395,398811,104431,231997,482218,37.6,38.8,39,38.80%,32.10%,33.30%,16.90%,15.00%,13.30%,29.20%,42.20%,43.00%,10.60%,9.60%,9.00%,118672,263633,547975,0.20%,4.90%,9.00%,99.80%,4.90%,91.00%,38594,47169,51851,5638,6518,6979,2456,2757,2912,42.20%,12.20%,2614109,36.114983,-115.1556649,OK,,end cap,0
NV,Henderson,1275 W Warm Springs Rd,"$36,411.37","$41,428.05","$43,327.46","$44,168.05","$39,257.04","$44,413.68","$42,885.21","$41,755.40","$45,841.52","$44,099.97","$44,925.76","$43,876.44","$43,607.67","$46,163.73","$45,891.53","$45,960.71","$46,594.83","$47,362.58","$43,154.74","$47,957.65","$49,843.64","$41,070.02","$41,304.07","$41,102.67","$43,414.05","$38,773.56","$39,815.47","$42,673.71","$38,494.31","$41,806.08","$40,913.62","$46,093.96","$43,703.37",,14498,138683,309421,12916,131855,295205,38,38.5,40.9,52.00%,51.00%,53.60%,8.40%,11.50%,8.40%,22.10%,26.30%,26.80%,15.30%,9.00%,8.90%,13177,56892,118460,4.70%,21.00%,15.50%,95.30%,79.00%,84.50%,61560,72796,76189,7900,8917,9216,3215,3541,3635,42.20%,12.20%,7623259,36.0554056,-115.041363,OK,,end cap,0
NV,North Las Vegas,6540 Losee Road,"$29,690.52","$31,002.94","$32,060.06","$30,686.89","$30,655.49","$30,984.43","$30,038.06","$31,805.40","$35,909.91","$32,650.69","$34,978.95","$33,970.89","$36,467.29","$34,444.14","$33,210.61","$34,587.28","$38,111.95","$32,408.59","$34,579.55","$39,368.03","$37,943.00","$32,020.05","$36,806.96","$34,261.44","$32,767.32","$32,368.33","$32,498.17","$33,969.40","$36,174.66","$35,045.87","$37,988.29","$35,193.42","$35,821.44",,17142,97850,262261,16980,95666,251170,33.5,33.7,33.9,28.20%,32.10%,31.90%,28.60%,24.10%,23.40%,34.10%,35.40%,38.40%,10.30%,8.90%,7.30%,1343,18196,92425,2.80%,25.30%,15.60%,97.20%,74.70%,84.40%,84390,84121,74380,9922,9899,9057,3856,3849,3585,42.20%,12.20%,3421054,36.2791871,-115.1164638,OK,,end cap,0
NV,Henderson,3552 St Rose Pkwy,"$29,690.52","$44,085.49","$48,717.29","$44,161.46","$45,736.83","$47,805.15","$44,947.77","$44,498.80","$46,290.48","$46,596.57","$45,696.62","$46,183.53","$53,218.38","$48,501.50","$48,646.65","$56,038.01","$49,869.95","$49,607.18","$49,592.48","$52,594.31","$52,644.09","$40,868.22","$46,863.25","$46,957.52","$45,503.44","$48,364.12","$43,886.18","$43,691.40","$46,912.05","$44,192.93","$47,534.13","$44,962.42","$46,283.35",,17362,121472,278707,16924,117348,269406,37.4,40,42.9,43.60%,48.40%,51.80%,10.60%,8.80%,7.40%,23.30%,20.10%,18.40%,19.70%,16.40%,16.70%,3647,34364,77502,4.10%,3.80%,4.90%,95.90%,96.20%,95.10%,72650,83741,91108,8904,9867,10487,3537,3839,4030,42.20%,12.20%,3539128,35.9867983,-115.1432956,OK,,in line,1
NV,Las Vegas,2375 S. Town Center Drive,"$28,033.33","$32,784.19","$32,060.06","$33,582.68","$35,680.37","$35,657.62","$31,942.61","$32,892.52","$38,164.48","$40,221.75","$34,297.45","$33,631.43","$38,931.56","$35,139.93","$35,867.00","$39,635.98","$34,755.21","$38,626.82","$37,235.19","$35,950.60","$37,041.51","$29,269.77","$33,360.60","$33,193.03","$37,786.01","$37,960.95","$31,078.39","$33,226.98","$32,415.69","$32,425.70","$36,034.57","$39,457.75","$37,605.70",,16011,114053,273346,14635,108510,262822,46.7,44,43.6,59.80%,57.80%,52.10%,3.40%,7.90%,8.80%,17.20%,16.60%,19.60%,14.20%,13.80%,15.60%,11466,46188,87693,3.30%,3.40%,4.50%,96.70%,96.60%,95.50%,113078,95136,84546,12258,10820,9936,4564,4132,3860,42.20%,12.20%,1818207,36.145649,-115.3265613,OK,,end cap,0
NV,Las Vegas,8730 West Sunset Road,"$28,668.08","$32,945.72","$48,717.29","$33,208.21","$35,090.21","$36,113.77","$34,521.49","$33,015.95","$35,865.64","$34,810.31","$35,686.60","$33,490.40","$37,744.87","$33,283.72","$39,941.22","$31,306.13","$34,921.98","$35,455.22","$32,958.59","$39,000.43","$36,024.54","$28,803.62","$34,857.62","$32,324.38","$31,971.88","$34,540.87","$29,830.57","$31,649.98","$36,277.23","$36,384.66","$36,538.74","$36,120.05","$36,053.86",,17788,128040,321142,16413,121138,303468,37.1,39.5,39.9,46.10%,39.90%,40.80%,10.20%,12.50%,12.50%,19.70%,16.10%,19.60%,24.90%,26.60%,23.10%,11458,57516,147278,10.70%,9.20%,20.50%,89.30%,90.80%,79.50%,77279,80951,76221,9311,9628,9219,3665,3765,3636,42.20%,12.20%,2311241,36.071357,-115.282305,OK,,in line,1
NV,Las Vegas,2340 S Nellis Blvd,"$25,419.47","$29,109.94","$39,192.40","$30,604.20","$32,124.92","$29,255.68","$28,574.91","$28,145.77","$33,099.71","$30,442.55","$33,233.57","$33,563.04","$32,568.64","$35,567.63","$32,467.43","$30,823.80","$33,249.36","$31,981.08","$31,939.03","$33,255.90","$29,437.06","$26,555.50","$29,288.35","$29,020.78","$29,323.34","$30,206.02","$30,889.31","$27,788.15","$28,849.54","$30,701.94","$29,755.94","$31,939.87","$30,055.29",,30588,202417,457797,30276,198986,441273,34.1,35.9,36.2,26.70%,29.80%,30.20%,12.30%,10.80%,12.00%,61.30%,57.20%,54.00%,3.50%,5.70%,6.30%,2595,28588,137694,9.90%,5.80%,8.10%,90.10%,94.50%,91.90%,49980,54418,53095,6796,7227,7099,2851,2994,2952,42.20%,12.20%,6321621,36.1450893,-115.0648097,OK,,end cap,1
NM,Albuquerque,5600 Coors Blvd,"$35,674.19","$35,389.00","$35,194.02","$35,361.31","$33,741.08","$36,484.50","$34,911.73","$38,420.19","$42,225.39","$41,434.26","$41,566.48","$40,695.50","$39,138.29","$45,856.54","$42,212.20","$40,365.01","$44,335.57","$44,348.00","$38,438.51","$46,889.32","$42,434.98","$37,009.59","$44,011.59","$47,222.49","$43,844.71","$42,260.56","$37,935.73","$46,381.21","$43,419.80","$44,735.76","$54,021.02","$48,544.83","$49,007.54",,2470,34848,91957,2454,34389,90112,32.3,38.3,35.4,24.30%,27.40%,27.60%,0.60%,1.40%,2.00%,87.40%,79.00%,81.40%,0.70%,1.20%,0.90%,128,3823,15372,26.60%,11.70%,28.80%,73.40%,88.30%,71.20%,63471,65536,60458,7563,7740,7301,3064,3121,2979,35.50%,14.90%,11268585,35.1469849,-106.6877155,OK,,end cap,0
MI,Allen Park,3129 Fairline Dr,"$25,943.60","$28,847.28","$29,132.03","$29,066.38","$26,572.26","$30,209.85","$31,707.83","$27,810.24","$30,383.39","$32,703.35","$32,926.89","$31,368.37","$35,991.69","$29,288.46","$27,366.41","$32,227.20","$31,591.72","$32,079.04","$27,535.28","$31,337.28","$30,188.01","$28,865.40","$34,677.93","$31,139.51","$31,917.23","$34,100.93","$30,387.09","$31,598.52","$27,026.21","$31,583.91","$29,744.14","$30,518.31","$27,429.94",,7783,106768,350011,8500,97087,333641,36.3,38,35.3,78.40%,70.80%,66.10%,9.60%,12.50%,15.20%,8.50%,13.40%,15.20%,1.00%,1.50%,1.20%,9660,80670,136414,8.10%,17.80%,15.90%,91.90%,82.20%,84.10%,56806,58738,54935,7025,7197,6857,2893,2949,2837,35.20%,14.10%,4269242,42.2828611,-83.2038937,OK,partial match - verify address,end cap,1
MI,Ann Arbor,2101 Bonisteel Blvd,--,"$13,024.83","$21,092.67","$18,276.74","$20,733.82","$21,326.68","$19,878.48","$20,183.33","$18,796.14","$4,953.82","$16,268.97","$18,135.29","$19,607.88","$19,685.77","$21,739.70","$19,243.36","$20,348.75","$43,882.51","$9,554.40","$9,383.18","$9,465.08","$6,148.53","$8,726.13","$8,315.34","$9,163.70","$8,736.83","$6,903.58","$8,303.60","$9,040.22","$8,040.88","$6,902.25","$7,301.95","$9,869.49",,13690,99804,159898,58918,94906,142933,24.3,32.8,35,56.50%,68.00%,65.60%,2.80%,4.80%,8.30%,6.50%,5.40%,5.70%,30.10%,17.80%,15.90%,66953,107848,141372,0.00%,0.90%,2.00%,100.00%,99.10%,98.00%,50823,91465,89780,6482,9911,9779,2713,3806,3766,38.40%,22.60%,1212854,42.2911258,-83.7174637,OK,,mall,0
MI,Ann Arbor,3268 Ann Arbor-Saline Rd,"$30,781.89","$33,042.34","$30,074.01","$26,899.99","$30,673.21","$35,973.58","$34,242.43","$35,346.36","$37,759.55","$38,352.66","$38,590.40","$42,896.54","$38,974.51","$34,073.90","$38,759.53","$41,302.82","$42,114.76","$15,872.14","$36,622.58","$38,809.45","$40,010.87","$37,826.32","$43,103.49","$44,329.42","$33,091.57","$36,959.37","$34,454.36","$31,573.27","$33,201.90","$33,091.58","$30,168.64","$33,753.68","$30,472.97",,5747,61716,136702,5244,58022,123649,40,38.1,36.3,56.70%,70.60%,70.70%,5.80%,6.30%,6.20%,2.10%,5.90%,6.10%,27.90%,12.90%,12.70%,4190,30783,140511,7.80%,5.10%,5.40%,92.20%,94.90%,94.60%,120997,98418,95356,12131,10450,10214,4473,3971,3899,38.40%,22.60%,4690900,42.239636,-83.7712495,OK,,end cap,1
CO,Aurora,13650 E Colfax Ave,"$12,248.44","$12,839.55","$14,334.02","$12,643.45","$12,572.94","$13,517.56","$16,779.76","$19,236.75","$19,799.02","$17,337.30","$17,388.54","$17,717.70","$17,463.23","$16,880.88","$19,393.39","$19,458.11","$20,241.23","$18,166.34","$15,831.01","$18,724.83","$19,139.22","$18,980.84","$21,124.03","$21,545.59","$20,806.78","$21,784.87","$17,445.44","$20,192.36","$22,619.95","$23,050.00","$24,312.27","$21,789.86","$17,965.52",,20555,147014,383238,28472,135177,361748,30.7,32.8,35.1,27.90%,30.30%,38.90%,15.50%,17.90%,18.30%,53.80%,47.90%,37.80%,5.80%,4.50%,4.90%,32355,98636,179077,99.80%,89.00%,88.90%,0.20%,11.00%,11.10%,55724,72319,83016,7577,9148,10106,3129,3636,3937,35.30%,21.00%,401159,39.7396373,-104.8295222,OK,,in line,0
OR,Bend,61583 SE 27th St,"$21,961.93","$21,857.17","$22,183.07","$20,629.84","$22,052.63","$20,734.83","$19,603.42","$20,512.72","$23,347.35","$19,901.70","$23,999.27","$23,251.63","$24,088.11","$21,838.78","$20,344.31","$23,969.21","$22,646.70","$23,655.51","$21,113.48","$27,985.45","$24,857.92","$21,981.29","$25,449.00","$23,590.73","$26,703.61","$23,325.29","$19,755.28","$26,007.80","$22,137.00","$26,656.64","$23,752.65","$25,592.10","$23,010.76",,6926,51803,100861,6863,48180,94493,42.8,39.9,41.3,87.60%,85.10%,86.80%,0.00%,1.10%,0.40%,12.20%,12.60%,9.10%,1.40%,1.10%,1.10%,524,30188,53061,31.50%,13.90%,16.50%,68.50%,86.10%,83.50%,96255,74261,86401,11209,9294,10368,4273,3680,4015,30.00%,22.60%,310145,44.036052,-121.2641768,OK,,end cap,0
FL,Boca Raton,9961 Glades Rd,"$30,889.39","$28,010.06","$28,143.55","$26,855.92","$32,684.12","$27,916.32","$25,725.08","$23,360.45","$25,561.74","$22,987.13","$23,182.89","$21,951.10","$22,327.96","$20,452.72","$23,455.50","$20,617.10","$21,728.82","$25,654.73","$20,939.80","$23,917.69","$24,746.16","$24,762.75","$23,286.13","$22,858.55","$26,386.33","$22,247.35","$19,972.88","$23,212.91","$24,678.94","$23,248.44","$21,170.45","$23,682.40","$21,075.50",,10695,105556,230872,9892,102834,223033,43.3,44.9,45.2,64.80%,62.70%,64.00%,4.50%,6.10%,7.40%,17.90%,18.90%,18.70%,3.20%,4.60%,3.90%,6691,22683,65317,1.00%,4.20%,5.40%,99.00%,95.80%,94.60%,105295,91051,103212,11772,10599,11603,4429,4073,4378,29.90%,15.40%,19703499,26.3684906,-80.2024349,OK,,in line,1
IL,Bolingbrook,1246 W Boughton Rd,,,,,,,,,,,,,,,,,,,,"$21,656.86","$24,106.68","$13,870.15","$16,460.40","$16,649.65","$19,022.74","$17,706.30","$15,129.47","$8,436.30","$9,451.09","$13,821.94","$15,283.31","$14,693.69","$14,320.02",,8549,88507,214913,8107,84002,203565,37.7,3.9,40,45.40%,54.20%,54.90%,16.60%,10.40%,9.70%,19.80%,17.60%,18.80%,14.10%,16.40%,15.20%,3682,37538,94560,6.70%,10.70%,15.20%,93.30%,89.30%,84.80%,108969,132047,127348,11935,13712,13357,4468,4991,4888,17.20%,14.70%,12946388,41.7033649,-88.1237811,OK,,end cap,1
MI,Byron Center,8233 Byron Center Ave SW,"$23,173.44","$30,301.35","$26,192.70","$21,563.37","$24,125.64","$22,929.18","$28,227.52","$27,338.57","$26,348.39","$28,452.93","$26,621.74","$27,467.53","$30,899.74","$27,087.60","$26,273.32","$30,331.78","$30,476.09","$32,097.73","$28,388.53","$30,126.23","$26,068.41","$25,315.77","$31,945.70","$25,464.32","$26,463.67","$28,163.22","$23,516.08","$25,517.75","$27,448.19","$25,885.63","$25,488.26","$24,946.81","$27,215.45",,3427,22390,77537,3304,21132,72319,45.6,43.1,38.7,91.40%,92.10%,75.20%,0.60%,0.30%,6.90%,0.40%,3.10%,9.60%,3.30%,3.00%,4.20%,1022,10481,43481,1.60%,28.50%,15.80%,98.40%,71.50%,84.20%,105791,95791,82146,11010,10247,9170,4139,3909,3578,29.70%,14.30%,8440092,42.8150877,-85.7236732,OK,,end cap,1
IN,Carmel,1352 S Rangeline Rd,"$17,828.19","$23,102.01","$20,753.78","$17,461.92","$13,596.48","$22,338.79","$21,768.67","$21,362.30","$23,527.70","$24,063.94","$21,778.95","$20,862.41","$22,632.39","$20,628.64","$20,723.11","$23,181.17","$25,797.40","$23,382.87","$25,809.17","$26,385.20","$23,546.05","$22,385.91","$22,259.09","$23,203.33","$22,810.63","$22,993.40","$20,232.27","$23,764.48","$27,606.85","$22,676.13","$26,138.16","$28,858.25","$26,319.20",,5943,66943,167676,10331,60343,150173,40.3,41.2,40.7,75.90%,80.20%,76.00%,2.70%,3.50%,7.90%,11.00%,5.90%,6.00%,5.50%,7.00%,6.90%,11740,68572,145858,9.20%,6%,4.80%,90.80%,94.00%,95.20%,81417,108417,111679,8919,10970,11207,3484,4110,4180,23.90%,23.30%,9675350,39.9591315,-86.127132,OK,,end cap,1
UT,Cedar City,565 S Main St,,,,"$7,609.11","$38,977.78","$33,497.66","$28,947.20","$29,497.19","$28,210.91","$21,858.45","$21,396.32","$22,106.16","$20,994.50","$20,550.75","$19,356.44","$18,612.63","$19,403.14","$17,880.72","$17,159.30","$15,629.17","$16,447.45","$15,191.96","$15,232.00","$13,290.89","$14,014.11","$16,739.52","$13,559.21","$16,432.60","$16,394.68","$14,077.17","$15,673.15","$16,611.36","$13,828.52",,8876,25952,35128,8170,24391,33091,24.8,28.6,30.1,80.10%,82.70%,82.30%,1.80%,1.30%,1.20%,12.20%,13.20%,12.20%,3.60%,1.80%,2.00%,5877,13004,16974,6.10%,10.80%,18.80%,93.90%,89.20%,81.20%,53366,60732,59764,7089,7783,7693,2946,3174,3144,31.70%,11.40%,2255421,37.6674669,-113.062117,OK,,end cap,0
TX,Cedar Park,3101 E Whitestone Blvd,"$24,754.10","$29,069.85","$27,277.54","$21,701.24","$22,509.82","$29,316.79","$27,700.59","$31,573.83","$28,930.42","$30,443.90","$29,462.91","$27,172.37","$26,961.23","$26,100.69","$27,638.88","$27,885.98","$28,415.97","$28,651.89","$27,093.81","$30,749.66","$26,429.87","$29,848.58","$27,905.00","$29,404.11","$27,743.97","$29,032.22","$24,094.54","$29,067.80","$25,905.68","$31,007.68","$29,494.96","$32,402.40","$31,379.40",,1362,70917,198881,1255,68343,191996,40.5,37.8,37.5,39.90%,52.40%,57.00%,13.50%,3.40%,4.90%,6.50%,17.10%,19.00%,41.20%,25.40%,19.10%,891,21446,57371,15.60%,11.60%,9.40%,84.40%,88.40%,90.60%,106382,142569,124086,11448,14145,12795,4301,5091,4700,33.60%,25.40%,13487456,30.5361596,-97.7825353,OK,,end cap,1
FL,Kissimmee,1575 Future Way,"$20,707.94","$18,097.71","$20,233.08","$22,051.93","$22,445.44","$18,586.35","$23,671.59","$24,717.03","$22,968.77","$21,563.06","$20,574.62","$22,830.07","$18,671.19","$21,862.93","$17,952.14","$18,653.74","$18,197.38","$19,405.98","$21,273.85","$17,251.81","$17,974.34","$17,738.22","$14,662.13","$16,186.37","$18,331.27","$17,082.59","$17,391.97","$18,784.97","$17,276.26","$17,480.67","$20,624.29","$17,546.36","$18,271.42",,2657,22809,54040,2636,20080,49996,41,39,36.7,80.70%,67.00%,57.70%,4.60%,3.20%,8.40%,11.40%,25.30%,33.30%,0.60%,2.90%,2.70%,171,22736,33696,11.10%,6.00%,4.70%,88.90%,94.00%,95.30%,93697,78907,72301,10820,9557,8972,4141,3751,3566,34.70%,13.30%,11302058,28.3027162,-81.5679962,OK,,end cap,0
PA,Center Valley,2880 Center Valley Pkwy,"$12,009.88","$13,410.81","$12,551.12","$11,415.74","$8,673.39","$14,560.99","$14,275.22","$14,643.69","$13,721.06","$13,265.62","$15,417.77","$15,068.64","$18,412.74","$18,815.29","$17,492.33","$18,913.56","$17,884.23","$18,609.89","$22,278.94","$19,651.00","$18,456.92","$19,801.92","$21,591.19","$18,313.39","$20,992.38","$18,965.36","$14,293.72","$17,942.35","$16,591.10","$17,850.42","$20,003.11","$21,812.69","$22,544.75",,1467,29860,170230,4741,28576,161633,54.9,41.7,37,90.80%,74.60%,51.50%,1.80%,3.50%,8.70%,4.90%,16.70%,38.10%,0.00%,3.70%,2.40%,5388,10698,71634,0.30%,4.50%,8.90%,99.70%,95.50%,91.10%,99496,104683,68144,10917,11326,8305,4142,4265,3330,34.40%,14.00%,6023061,40.559793,-75.4098213,OK,,in line,0
OH,Centerville,5409 Cornerstone North Blvd,"$19,835.31","$21,841.89","$22,472.63","$19,673.23","$13,441.98","$18,111.38","$19,775.74","$20,005.42","$21,926.41","$23,049.04","$23,329.14","$19,645.60","$22,879.72","$23,397.34","$22,720.55","$22,482.38","$23,013.35","$21,962.64","$22,963.84","$20,439.93","$20,463.26","$19,179.79","$21,049.63","$19,859.50","$23,174.16","$21,531.33","$21,360.56","$22,090.80","$22,575.79","$20,340.34","$22,162.72","$20,277.98","$19,903.98",,7321,59382,138282,6997,56759,131744,39,42.3,42.7,82.30%,85.00%,84.70%,5.20%,4.50%,5.00%,4.90%,4.60%,3.80%,3.00%,2.00%,2.30%,2700,21858,54480,0.70%,5.80%,7.80%,99.30%,94.20%,92.20%,93120,85938,85781,9782,9231,9218,3747,3578,3574,32.00%,12.90%,12038006,39.6607978,-84.1046779,OK,,in line,1
AZ,Chandler,2925 S Alma School Rd,,,,,,,,,,,"$13,705.31","$17,463.88","$15,036.82","$14,231.27","$13,091.46","$16,358.93","$15,503.22","$14,046.77","$16,608.01","$20,662.01","$16,192.01","$14,754.46","$13,861.41","$13,980.01","$14,755.88","$16,379.04","$12,799.09","$15,201.52","$12,742.30","$15,226.93","$14,737.51","$14,590.60","$17,179.38",,21338,135554,407471,20872,126198,379635,40.3,38.5,36.8,61.90%,61.90%,58.80%,6.20%,5.30%,5.60%,24.00%,24.80%,28.70%,6.60%,7.00%,6.80%,3880,77963,231966,7.30%,18.40%,14.20%,92.70%,81.60%,85.80%,92166,86670,85807,10809,10340,10265,4147,4002,3979,34.80%,20.80%,5107132,33.2635543,-111.8574641,OK,,end cap,0
