brand,address,city,state,zip,sales,lat,lon
Molly Tea,67 Beach Street,Boston,CA,02111,--,42.3511724,-71.0600559
Molly Tea,223 Grove St,Jersey City,NJ,07302,--,40.715677,-74.045102
Molly Tea,1777 NJ-27 Suite 102,Edison,NJ,08817,--,40.5132152,-74.4059905
Molly Tea,3720 Chestnut St,Philadelphia,PA,19104,--,39.9547506,-75.1975362
Molly Tea,850 Festival St,Rockville,MD,20852,--,39.0631764,-77.1237219
Molly Tea,2131 Pleasant Hill Rd #135,Duluth,GA,30096,--,33.9567235,-84.1350817
Molly Tea,6035 Peachtree Rd Ste C-108,Doraville,GA,30341,--,33.908782,-84.2883931
Molly Tea,2227 S Wentworth Ave,Chicago,IL,60616,--,41.8520588,-87.6317817
Molly Tea,9889 Bellaire Blvd D226,Houston,TX,77036,--,29.7043428,-95.5535342
Molly Tea,3420 State St,South Salt Lake,UT,84115,--,40.6973127,-111.8899976
Molly Tea,3400 S Jones Blvd #20,Las Vegas,NV,89146,--,36.1266018,-115.2241926
Molly Tea,1130 S Balwin Ave Suite A5,Arcadia,CA,91007,--,34.1267663,-118.0544228
Molly Tea,103 Bellevue Way NE,Bellevue,WA,98004,--,47.6113814,-122.201958
Molly Tea,3969 Rivermark Plz,Santa Clara,CA,95054,--,37.3953578,-121.9465656
Molly Tea,19110 Stevens Creek Blvd Unit A,Cupertino,CA,95015,--,37.3227792,-122.0068662
Molly Tea,605 E El Camiuno Real,Sunnyvale,CA,94087,--,37.3619851,-122.0244755
Molly Tea,318 University Ave,Palo Alto,CA,94301,--,37.4461192,-122.1610784
Molly Tea,153 S B St,San Mateo,CA,94401,--,37.5665861,-122.3232866
CHAGEE,20 City Boulevard West Suite 916,Orange,CA,92868,--,33.7813624,-117.8912117
CHAGEE,4301 La Jolla Village Dr Suite 2045,La Jolla,CA,92122,--,32.8722817,-117.2134911
CHAGEE,755 Americana Way Space E-16,Glendale,CA,91210,--,34.1443526,-118.2574052
CHAGEE,929 N Milliken Ave,Ontario,CA,91764,--,34.0727865,-117.5583668
CHAGEE,555 The Shops At Mission Viejo Suite 218,Mission Viejo,CA,92691,--,33.5581546,-117.6696332
CHAGEE,5246 E Second Street,Long Beach,CA,90803,--,33.7597349,-118.1341161
CHAGEE,6000 Sepulveda Blvd Ste 1557,Culver City,CA,90230,--,33.9865035,-118.394099
CHAGEE,14006 Riverside Dr Space 249A,San Fernando Valley,CA,91423,--,34.156619,-118.4364514
CHAGEE,1065 Brea Mall,Brea,CA,92821,--,33.9153422,-117.8864509
CHAGEE,3525 W Carson St,Torrance,CA,90503,--,33.8323541,-118.3505779
CHAGEE,10250 Santa Monica Blvd,Los Angeles,CA,90067,--,34.0589312,-118.4191377
HeyTea,1407 Broadway,New York,NY,10018,--,40.753246,-73.9878778
HeyTea,35 Main St,Flushing,NY,11354,--,40.7454457,-73.8256694
HeyTea,1293 Broadway,New York,NY,10001,--,40.7497992,-73.988341
HeyTea,42-20 27th St,Long Island City,NY,11101,--,40.7498988,-73.941037
HeyTea,2120 86th St,Brooklyn,NY,11214,--,40.6027914,-73.9956768
HeyTea,2125 Shattuck Ave,Berkeley,CA,94704,--,37.8709151,-122.2679513
HeyTea,500 Westlake Center,Daly City,CA,94015,--,37.6994208,-122.4826552
HeyTea,1628 Hostetter Rd,San Jose,CA,95131,--,37.387232,-121.885334
HeyTea,302 W El Camino Real,Sunnyvale,CA,94087,--,37.3682254,-122.0355835
HeyTea,5414 Walnut Ave,Irvine,CA,92604,--,33.689276,-117.7704477
HeyTea,500 N Atlantic Blvd,Monterey Park,CA,91754,--,34.0686929,-118.1336587
HeyTea,479 N Rodeo Dr,Beverly Hills,CA,90210,--,34.0705102,-118.4047162
HeyTea,223 Newbury St,Boston,MA,02116,--,42.3500725,-71.0816142
HeyTea,162 Harvard Ave,Boston,MA,02134,--,42.3515562,-71.131425
HeyTea,910 John St,Seattle,WA,98109,--,47.6199895,-122.339502
HeyTea,700 110th Ave NE,Bellevue,WA,98004,--,47.6164697,-122.1925263
HeyTea,12925 El Camino Real,San Diego,CA,92130,--,32.9516484,-117.2330717
HeyTea,1731 NJ-27,Edison,NJ,08817,--,40.5125542,-74.4079745
HeyTea,5015 Westheimer Rd,Houston,TX,77056,--,29.7394353,-95.4629964
HeyTea,1 American Dream Way,East Rutherford,NJ,07073,--,40.8086222,-74.0689331
HeyTea,372 Barber Ln,Milpitas,CA,95035,--,37.4224848,-121.9166693
HeyTea,3251 20th Ave,San Francisco,CA,94132,--,37.7277303,-122.4769749
HeyTea,302 W El Camino Real,Sunnyvale,CA,94087,--,37.3682254,-122.0355835
HeyTea,2855 Stevens Creek Blvd,Santa Clara,CA,95050,--,37.3267237,-121.9433972
HeyTea,165 4th St,San Francisco,CA,94103,--,37.7839649,-122.4031672
HeyTea,19469 Stevens Creek Blvd,Cupertino,CA,95014,--,37.3238225,-122.0105082
HeyTea,1065 Brea Mall,Brea,CA,92821,--,33.9153422,-117.8864509
HeyTea,5414 Walnut Ave Ste e,Irvine,CA,92604,--,33.6893266,-117.77029
HeyTea,4545 La Jolla Village Dr Ste E5,San Diego,CA,92122,--,32.8717142,-117.2101827
HeyTea,479 N Rodeo Dr Ste d,Beverly Hills,CA,90210,--,34.0705377,-118.4047291
HeyTea,3738 S Figueroa St,Los Angeles,CA,90007,--,34.0170811,-118.2825032
HeyTea,1190 Galleria Way,Glendale,CA,91210,--,34.143381,-118.258521
HeyTea,101 E Valley Blvd Ste e,San Gabriel,CA,91776,--,34.0799965,-118.0993371
HeyTea,17595 Harvard Ave #E,Irvine,CA,92614,--,33.6775767,-117.8328989
